# Four modules in series, normal operation, no shading, no bypass
# REPLACE THE VALUES WITH YOUR OWN MEASUREMENTS!
# All rows beginning with # are comments and ignored
# V(V), I(mA), R
# Isc
0.134,19.9,0
# different load reistances
0.160,20.07,1
0.341,20.06,10
1.075,19.95,47
2.12,19.75,100
4.0,19.13,200
5.81,18.86,300
7.67,18.80,400
8.95,18.71,470
10.71,18.85,570
12.48,18.39,670
14.22,18.24,770
#14.75,16.54,880
#14.85,16.58,884.7
#15.33,16.53,917
#15.40,16.54,921.7
#15.48,16.56,927
#15.67,16.59,931.7
17.88,17.85,1000
#18.05,16.29,1100
#19.52,16.18,1200
21.1,16.09,1300
22.3,15.71,1400
22.7,15.33,1470
23.3,11.50,2000
23.5,7.75,3000
23.7,5.90,4000
23.8,5.04,4700
24.0,2.39,10000
# Voc
24.3,0, 1e15
