# Four modules in series, PV2 shaded, no bypass
# REPLACE THE VALUES WITH YOUR OWN MEASUREMENTS!
# All rows beginning with # are comments and ignored
# V(V), I(mA), R
# Isc
0.012, 1.84, 0
# different load reistances
0.014,1.76,1
0.021,1.76,4.7
0.030,1.75,10
0.095,1.04,47
0.187,1.73,100
0.366,1.76,200
0.525,1.69,300
0.695,1.69,400
0.812,1.69,470
0.968,1.67,570
1.127,1.65,670
1.5,1.92,770
1.503,1.70,870
1.716,1.69,1000
3.65,1.82,2000
5.26,1.74,3000
6.73,1.67,4000
7.85,1.66,4700
15.63,1.55,10000
15.69,1.54,10100
16.02,1.54,10300
16.89,1.52,11000
17.89,1.49,12000
18.50,1.47,12470
20.2,1.37,14700
21.2,1.34,15700
21.8,1.29,16700
21.9,1.23,17700
22.1,1.17,18700
# Voc
22.9,0,1e15
