# Four modules in series, PV2 shaded, bypassed with diode
# REPLACE THE VALUES WITH YOUR OWN MEASUREMENTS!
# All rows beginning with # are comments and ignored
# V(V), I(mA), R
# Isc
0.127, 18.91, 0
# different load reistances
0.152,18.84,1
0.221,18.92,4.7
0.324,18.98,10
1.018,18.98,47
1.988,18.53,100
3.80,18.33,200
5.60,18.18,300
7.37,18.02,400
8.60,17.87,470
10.30,17.78,570
12.05,17.83,670
13.81,17.75,770
15.33,17.38,870
16.09,15.96,1000
16.87,8.35,2000
17.02,5.64,3000
16.96,4.22,4000
17.07,3.61,4700
17.24,1.72,10000
17.28,1.68,10100
17.30,1.66,10300
17.33,1.56,11000
17.38,1.44,12000
17.53,1.3,12470
18.88,1.27,14700
19.57,1.24,15700
20.64,1.23,16700
21.3,1.19,17700
21.7,1.15,18700
# Voc
22.8,0,1e15
