# Single module
# REPLACE THE VALUES WITH YOUR OWN MEASUREMENTS!
# All rows beginning with # are comments and ignored
# range of MPP 100 - 1000 Ohm under undisturbed conditions
# max R=18.7 kOhm 
# V(V), I(mA), R (Ohm)
# Isc
0.140, 20.70, 0
# different load reistances
0.167,20.51,1
0.241,20.55,4.7
0.352,20.58,10
1.114,20.58,47
1.228,20.71,51.7
1.337,20.76,57
1.466,20.73,62.7
2.22,20.67,100
3.22,20.18,151.7
3.26,20.21,152.7
3.34,20.18,157
3.36,20.19,158
3.43,20.16,161.7
4.27,20.47,200
4.23,20.16,201
4.31,20.21,204.7
4.42,20.18,210
4.50,19.98,214.7
5.05,19.77,247
5.11,19.63,251.7
5.16,19.39,257
5.33,17.25,300
5.48,17.15,310
5.5,16.94,314.7
5.56,15.58,347
5.58,15.42,351.7
5.55,13.54,400
5.64,11.74,470
5.73,9.87,570
5.78,8.49,670
5.84,7.46,770
5.86,6.64,870
5.89,5.83,1000
# Voc
6.00,  0.0, 1e15
